full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,created_at,followers_count,following_count,favourites_count,Source_File,sentiment
  do you have any requirements for professionalism JuliaHarley is showing a good job of the low class requirements you may have for recruitment ,15,0,0,0,0,"07/01/2024, 04:27:36",117,239,10048,Week 1.csv,positive
"                         

Bangladesh politics Dhaka Election Train ",71,0,2,0,0,"07/01/2024, 02:15:03",113,131,6188,Week 1.csv,neutral
"prothomalo bangladesh politics palonews
",1918,0,4,0,0,"07/01/2024, 02:14:59",4185355,356,193,Week 1.csv,neutral
Anowara Islam Rani a young transgender from Bangladeshs northern region has emerged as the first candidate of her gender to enter electoral politics a symbol of resilience and change in the country ,24,0,0,0,0,"07/01/2024, 01:41:43",512,116,18,Week 1.csv,positive
"Shakib Al Hasan From Cricket Icon to Political Contender Amid Viral Yawning Incident

Shakib Sports Cricket Politics Bangladesh Cricket ",74,0,0,0,0,"07/01/2024, 01:06:57",85,492,247,Week 1.csv,neutral
One thing government do first terminate this professor from his job and send him to Bangladesh in exchange of Hindu family,25,0,0,0,0,"07/01/2024, 00:58:36",106,102,3902,Week 1.csv,negative
 They are boycotting for last couple of elections they bombed current prime minister with the Jihadist I wish the BNP to disappear from politics of Bangladesh,16,0,0,0,0,"07/01/2024, 00:36:58",88,117,45,Week 1.csv,negative
Will Indian model to control Bangladesh politics work successfully in Pakistan too Apparently the planners amp conspirators think that it will I have shared details of how Bangladesh politics has been shaped since  period its important to understand,105808,7,1152,39,423,"07/01/2024, 00:11:13",3318572,1055,9864,Week 1.csv,neutral
  Im a Muslim Ofc I love Islam I wish Bangladesh would fully adopt Islamic law Currently we have a few small Salafiahle hadis towns that function at least  on Islamic law Similar to Brunei The next step is to spread the system to more villagestowns and apply ,24,0,0,1,0,"07/01/2024, 00:04:07",156,727,7761,Week 1.csv,positive
"         

JANUARY  THNATIONALELECTION  POLITICS  TRINOMULBNP  BANGLADESH  NEWS  DHAKAPOST
Click To See All The NEWSofHASNAT   ",18,0,0,1,0,"06/01/2024, 23:15:45",66,126,303,Week 1.csv,neutral
Ahead of polls Bangladesh Nationalist Party holds massive protest in Dhakas Paltan area ,60,0,0,0,0,"06/01/2024, 23:09:04",5106,1,12,Week 1.csv,negative
"So sad to watch burning passenger train and killing innocent people in the name of politics of the opposition party 
Shame on this heinous act 
Law enforcement agencies should take strong action against this evils 
Stop heinous activity against innocent citizen of Bangladesh ",19,0,0,0,0,"06/01/2024, 22:50:04",5,30,7,Week 1.csv,negative
