epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1459,3.00715,3.80975,4.47505,0.00332,0.9375,0.01478,0.00449,2.45533,3.80529,4.15868,0.00024,0.00024,0.00024
2,64.6777,3.05174,3.68391,4.25592,0.00356,0.9375,0.01007,0.00321,2.45543,3.79007,4.15892,0.0004835,0.0004835,0.0004835
3,93.4973,2.90944,3.46418,4.13608,0.00338,0.9375,0.00928,0.00316,2.45741,3.75612,4.16147,0.00070984,0.00070984,0.00070984
4,123.113,2.78501,3.45746,4.00938,0.00331,0.9375,0.00824,0.00297,2.50122,3.71533,4.17357,0.00091902,0.00091902,0.00091902
5,152.211,2.96711,3.32621,3.94347,0.00335,0.9375,0.00983,0.00341,2.50757,3.70399,4.19146,0.00111104,0.00111104,0.00111104
6,181.44,2.65076,3.18743,3.77184,0.00329,0.92969,0.00702,0.00244,2.54628,3.69975,4.34813,0.0012859,0.0012859,0.0012859
7,213.446,2.88527,3.1029,3.71198,0.00346,0.92969,0.00722,0.00243,2.55811,3.80556,4.45246,0.0014436,0.0014436,0.0014436
8,249.924,2.81618,3.19795,3.64972,0.00537,0.58594,0.00536,0.00194,2.60506,3.84542,4.51954,0.001538,0.001538,0.001538
9,280.078,2.81204,3.11652,3.56535,0.0036,0.92969,0.00701,0.00242,2.59177,3.75209,4.4539,0.001472,0.001472,0.001472
10,310.31,2.71782,2.98803,3.49022,0.68713,0.00781,0.01486,0.00483,2.5453,3.69902,4.34752,0.001406,0.001406,0.001406
11,340.877,2.73541,3.07994,3.45483,0.2489,0.16406,0.12561,0.03787,2.80833,4.56877,3.64435,0.00134,0.00134,0.00134
12,375.86,2.64135,2.84143,3.35384,0.23128,0.20312,0.13173,0.03434,2.39646,4.74665,3.64207,0.001274,0.001274,0.001274
13,404.734,2.7444,3.05048,3.3749,0.33002,0.23438,0.15126,0.04139,2.3656,4.05154,3.55645,0.001208,0.001208,0.001208
14,435.946,2.64418,2.78642,3.24434,0.20966,0.32031,0.13688,0.04685,2.29679,3.55653,3.2654,0.001142,0.001142,0.001142
15,463.725,2.61076,2.77209,3.30589,0.22592,0.35115,0.17623,0.06201,2.21674,3.01289,3.13975,0.001076,0.001076,0.001076
16,494.383,2.60052,2.75225,3.19664,0.17522,0.30469,0.16358,0.05371,2.41855,3.85207,3.42768,0.00101,0.00101,0.00101
17,526.213,2.536,2.73838,3.20353,0.17977,0.40625,0.16464,0.05504,2.42783,4.1728,3.51868,0.000944,0.000944,0.000944
18,556.969,2.56484,2.6414,3.22026,0.40198,0.36719,0.31257,0.11001,2.29355,2.94394,3.06345,0.000878,0.000878,0.000878
19,592.544,2.42957,2.45946,3.09055,0.47767,0.4375,0.41843,0.13998,2.16154,2.62395,3.03182,0.000812,0.000812,0.000812
20,624.809,2.47962,2.59793,3.14935,0.50378,0.39062,0.39232,0.14295,2.17391,3.02432,3.07558,0.000746,0.000746,0.000746
21,653.73,2.13917,2.92425,2.88441,0.46252,0.46875,0.40211,0.15219,2.12948,2.83056,3.0098,0.00068,0.00068,0.00068
22,682.052,2.02718,2.69053,2.76436,0.21385,0.46875,0.16848,0.05489,2.16072,6.58114,2.99477,0.000614,0.000614,0.000614
23,712.642,1.93289,2.64866,2.63976,0.3797,0.49736,0.35611,0.14006,2.07819,2.70819,2.83407,0.000548,0.000548,0.000548
24,745.113,1.9235,2.66077,2.77469,0.47091,0.4375,0.42557,0.16982,2.04986,2.78343,2.97352,0.000482,0.000482,0.000482
25,780.256,1.89643,2.50203,2.67002,0.55939,0.41406,0.48969,0.16827,2.07051,2.81318,2.97828,0.000416,0.000416,0.000416
26,815.193,1.93685,2.4734,2.73776,0.61266,0.49219,0.56066,0.22781,1.99278,2.49846,2.78616,0.00035,0.00035,0.00035
27,849.03,1.79264,2.38658,2.69783,0.58863,0.44531,0.50571,0.20473,2.00116,2.58207,2.77221,0.000284,0.000284,0.000284
28,877.106,1.8477,2.33808,2.63975,0.58969,0.49404,0.52703,0.20495,2.0238,2.62914,2.83805,0.000218,0.000218,0.000218
29,905.244,1.83785,2.32802,2.67078,0.59476,0.45312,0.54153,0.22092,2.01137,2.67912,2.88356,0.000152,0.000152,0.000152
30,933.846,1.81508,2.30406,2.65486,0.62572,0.54688,0.61662,0.27554,1.9571,2.54216,2.8428,8.6e-05,8.6e-05,8.6e-05
